date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:15	651/651	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:01%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/line.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/line.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:15	359457/359457	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:03%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic1.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic1.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:15	10571/10571	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:04%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic4.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic4.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:15	307991/307991	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:44:00%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/bg1.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/bg1.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:16	537812/537812	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:44:00%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/bg2.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/bg2.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:16	316471/316471	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:03%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic2.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic2.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:16	279498/279498	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202023%2013:44:01%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/bg3.jpg	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/bg3.jpg	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:16	313752/313752	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:44:04%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic3.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/main-slider/slider2/pic3.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:17	5847/5847	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:32%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/pic1.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/pic1.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
10:07:17	7707/7707	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Sep%202023%2013:42:35%20GMT	https://swigo.dexignzone.com/xhtml/assets/images/menu-small/pic2.png	D:/Template/NTN_Food/swigo.dexignzone.com/xhtml/assets/images/menu-small/pic2.png	(from https://swigo.dexignzone.com/xhtml/index-2.html)
